"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"91","AMAZONAS","91263","EL ENCANTO (Cor. Departamental)","191.8","264.0","164.0","270.0","382.0","233.0","186.0","349.0","109.0","81.0","35.0","16.0","8.0","20.0","11.8","12.7","8.0","4.1","2.5","0","- 0","- 0","- 0"
"91","AMAZONAS","91405","LA CHORRERA (Cor. Departamental)","65.0","236.0","209.0","271.0","257.0","223.0","132.0","349.0","81.0","113.0","36.0","22.0","25.0","51.0","13.6","14.1","18.2","6.0","3.2","0","- 0","- 0","- 0"
"91","AMAZONAS","91407","LA PEDRERA (Cor. Departamental)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","7.0","12.0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"91","AMAZONAS","91430","LA VICTORIA (Pacoa) (Cor. Departamental)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","2.0","10.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"91","AMAZONAS","91460","MIRITÍ-PARANÁ (Campoamor) (Cor. Departamental)","6.0","43.0","36.2","30.0","12.0","4.0","9.0","2.0","4.0","15.0","- 0","5.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"91","AMAZONAS","91530","PUERTO ALEGRÍA (Cor. Departamental)","212.3","195.0","173.0","174.0","210.0","202.0","165.0","95.0","53.0","73.0","44.0","54.0","76.0","102.0","85.8","140.0","139.4","111.5","119.0","61,5","72.8","103.4","66.0"
"91","AMAZONAS","91536","PUERTO ARICA (Cor. Departamental)","- 0","1.0","6.4","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"91","AMAZONAS","91669","SANTANDER (Araracuara) (Cor. Departamental)","33.0","44.0","36.7","38.0","36.0","30.0","49.0","41.0","22.0","34.0","7.0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05031","AMALFI","36.6","110.0","74.0","173.0","210.0","342.0","246.0","151.0","108.0","103.0","29.0","170.0","48.0","40.0","28.4","130.8","197.9","205.6","191.1","209,8","475.4","405.0","382.6"
"05","ANTIOQUIA","05040","ANORÍ","201.3","369.0","613.7","753.0","759.0","836.0","533.0","787.0","239.0","526.0","208.0","361.0","107.0","199.0","256.1","661.7","1,312.3","969.5","768.4","1.088,9","1,737.4","1,540.7","2,089.3"
"05","ANTIOQUIA","05045","APARTADÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","10.0","21.0","70.0","- 0","19.0","5.0","6.0","8.9","9.5","7.9","1.5","7.3","5,7","1.9","3.4","3.2"
"05","ANTIOQUIA","05055","ARGELIA","- 0","- 0","4.0","21.0","21.0","15.0","2.0","1.0","3.0","9.0","42.0","5.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05107","BRICEÑO","24.2","17.0","20.0","54.0","115.0","44.0","329.0","85.0","50.0","94.0","38.0","53.0","5.0","27.0","91.5","736.9","414.9","289.0","90.7","88,6","363.1","417.6","534.5"
"05","ANTIOQUIA","05120","CÁCERES","229.1","116.0","537.0","539.0","650.0","579.0","552.0","524.0","382.0","1,056.0","453.0","290.0","143.0","510.0","420.1","1,131.3","1,943.6","1,826.2","1,101.5","1.273,9","1,869.6","1,785.7","2,116.2"
"05","ANTIOQUIA","05134","CAMPAMENTO","- 0","8.0","- 0","62.0","28.0","9.0","38.0","6.0","25.0","- 0","- 0","6.0","11.0","41.0","25.6","130.3","228.2","204.6","184.0","179,4","326.1","268.8","427.1"
"05","ANTIOQUIA","05142","CARACOLÍ","- 0","- 0","- 0","- 0","- 0","1.0","- 0","14.0","- 0","2.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05147","CAREPA","- 0","- 0","- 0","2.0","- 0","- 0","- 0","4.0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05148","CARMEN DE VIBORAL","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05154","CAUCASIA","95.1","26.0","27.0","21.0","2.0","12.0","7.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","5.9","- 0","2.3","- 0","0","3.3","3.6","3.1"
"05","ANTIOQUIA","05172","CHIGORODÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","2.0","- 0","7.0","1.0","7.0","4.0","1.0","- 0","10.4","6.9","5.3","6.4","4,1","12.2","15.6","35.4"
